"projectID";"legalBasis";"title";"uniqueProgrammePart"
"101059863";"HORIZON.2.6.3";"Agriculture, Forestry and Rural Areas";""
"101059863";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101061068";"HORIZON.2.6.3";"Agriculture, Forestry and Rural Areas";""
"101061068";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101072717";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101073486";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101072798";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101047223";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101047223";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101079608";"HORIZON.1.3";"Research infrastructures";"true"
"101079608";"HORIZON.1.3.1";"Consolidating and Developing the Landscape of European Research Infrastructures";""
"101070381";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101070381";"HORIZON.2.4.5";"Artificial Intelligence and Robotics";""
"101065751";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101056921";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101056921";"HORIZON.2.5.1";"Climate Science and Solutions";""
"101065828";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101072488";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101046693";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101046693";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101068442";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101046909";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101046909";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101063894";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101047214";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101047214";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101060379";"HORIZON.2.6.4";"Seas, Oceans and Inland Waters";""
"101060379";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101058007";"HORIZON.4.2";"Reforming and enhancing the European R&I System";"true"
"101058007";"HORIZON.4.2.4";"Open science";""
"101046451";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101046451";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101070660";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101070660";"HORIZON.2.4.2";"Key Digital Technologies";""
"101057216";"HORIZON.2.1";"Health";"true"
"101057216";"HORIZON.2.1.2";"Environmental and Social Health Determinants";""
"101065994";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101063660";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101059890";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101068237";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101072903";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101070287";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101070287";"HORIZON.2.4.3";"Emerging enabling technologies";""
"101069703";"HORIZON.2.5.9";"Energy Storage";""
"101069703";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101046333";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101046333";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101058692";"HORIZON.2.4.9";"Low-Carbon and Clean Industries";""
"101058692";"HORIZON.2.4.1";"Manufacturing Technologies";""
"101058692";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101063966";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101067194";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101069091";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101062455";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101058636";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101058636";"HORIZON.2.4.4";"Advanced Materials";""
"101079482";"HORIZON.4.1.2";"Twinning";""
"101079482";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101065171";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101068547";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101065794";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101058728";"HORIZON.4.2";"Reforming and enhancing the European R&I System";"true"
"101058728";"HORIZON.4.2.4";"Open science";""
"101046504";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101046504";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101064524";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101072779";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101046424";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101046424";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101079148";"HORIZON.1.3";"Research infrastructures";"true"
"101079148";"HORIZON.1.3.1";"Consolidating and Developing the Landscape of European Research Infrastructures";""
"101065389";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101059547";"HORIZON.2.6.4";"Seas, Oceans and Inland Waters";""
"101059547";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101058100";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101058100";"HORIZON.2.4.4";"Advanced Materials";""
"101078960";"HORIZON.4.1.2";"Twinning";""
"101078960";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101066495";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101064765";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101081193";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101081193";"HORIZON.2.5.1";"Climate Science and Solutions";""
"101066172";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101059877";"HORIZON.2.6.4";"Seas, Oceans and Inland Waters";""
"101059877";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101072625";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101072537";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101070290";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101070290";"HORIZON.2.4.3";"Emerging enabling technologies";""
"101059915";"HORIZON.2.6.4";"Seas, Oceans and Inland Waters";""
"101059915";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101060429";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101060429";"HORIZON.2.6.2";"Biodiversity and Natural Resources";""
"101080144";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101080144";"HORIZON.2.4.2";"Key Digital Technologies";""
"101066781";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101064940";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101061163";"HORIZON.2.2";"Culture, creativity and inclusive society";"true"
"101061163";"HORIZON.2.2.2";"Cultural Heritage";""
"101070165";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101070165";"HORIZON.2.4.5";"Artificial Intelligence and Robotics";""
"101070455";"HORIZON.2.3.3";"Cybersecurity";""
"101070455";"HORIZON.2.3";"Civil Security for Society";"true"
"101080152";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101080152";"HORIZON.2.4.2";"Key Digital Technologies";""
"101079264";"HORIZON.4.1.2";"Twinning";""
"101079264";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101065060";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101071179";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101068121";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101072344";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101057253";"HORIZON.4.2";"Reforming and enhancing the European R&I System";"true"
"101057253";"HORIZON.4.2.4";"Open science";""
"101067273";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101062808";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101074075";"HORIZON.2.3.1";"Disaster-Resilient Societies";""
"101074075";"HORIZON.2.3";"Civil Security for Society";"true"
"101061154";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101069287";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101069287";"HORIZON.2.5.3";"Energy Systems and Grids";""
"101046946";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101046946";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101066346";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101046748";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101046748";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101059400";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101058293";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101058293";"HORIZON.2.4.4";"Advanced Materials";""
"101070112";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101070112";"HORIZON.2.4.2";"Key Digital Technologies";""
"101058583";"HORIZON.2.4.8";"Circular Industries";""
"101058583";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101063075";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101057344";"HORIZON.1.3";"Research infrastructures";"true"
"101057344";"HORIZON.1.3.1";"Consolidating and Developing the Landscape of European Research Infrastructures";""
"101059190";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101070193";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101070193";"HORIZON.2.4.2";"Key Digital Technologies";""
"101059435";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101072977";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101046364";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101046364";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101062581";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101066588";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101066400";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101080173";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101080173";"HORIZON.2.4.2";"Key Digital Technologies";""
"101047160";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101047160";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101069474";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101069474";"HORIZON.2.5.1";"Climate Science and Solutions";""
"101058449";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101058449";"HORIZON.2.4.4";"Advanced Materials";""
"101072515";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101066174";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101059865";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101079481";"HORIZON.4.1.2";"Twinning";""
"101079481";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101063367";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101057286";"HORIZON.2.1";"Health";"true"
"101057286";"HORIZON.2.1.5";"Tools, Technologies and Digital Solutions for Health and Care, including personalised medicine";""
"101058427";"HORIZON.1.3";"Research infrastructures";"true"
"101058427";"HORIZON.1.3.1";"Consolidating and Developing the Landscape of European Research Infrastructures";""
"101066991";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101073404";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101064705";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101071111";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101070066";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101070066";"HORIZON.2.4.5";"Artificial Intelligence and Robotics";""
"101057894";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101066996";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101062414";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101070600";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101070600";"HORIZON.2.4.5";"Artificial Intelligence and Robotics";""
"101047028";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101047028";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101057367";"HORIZON.2.1";"Health";"true"
"101057367";"HORIZON.2.1.3";"Non-Communicable and Rare Diseases";""
"101063146";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101079417";"HORIZON.4.1.2";"Twinning";""
"101079417";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101079370";"HORIZON.4.1.2";"Twinning";""
"101079370";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101073374";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101060211";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101060211";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101070430";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101070430";"HORIZON.2.4.5";"Artificial Intelligence and Robotics";""
"101071203";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101059523";"HORIZON.2.6.3";"Agriculture, Forestry and Rural Areas";""
"101059523";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101046475";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101046475";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101060430";"HORIZON.2.6.3";"Agriculture, Forestry and Rural Areas";""
"101060430";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101045989";"HORIZON.2.1";"Health";"true"
"101045989";"HORIZON.2.1.4";"Infectious Diseases, including poverty-related and neglected diseases";""
"101070741";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101046489";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101046489";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101073558";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101075727";"HORIZON.2.5.2";"Energy Supply";""
"101075727";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101058035";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101057741";"HORIZON.2.4.8";"Circular Industries";""
"101057741";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101069726";"HORIZON.2.5.9";"Energy Storage";""
"101069726";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101056306";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101056306";"HORIZON.2.5.1";"Climate Science and Solutions";""
"101058651";"HORIZON.2.4.1";"Manufacturing Technologies";""
"101058651";"HORIZON.2.4.8";"Circular Industries";""
"101058651";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101073508";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101073432";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101069614";"HORIZON.2.5.7";"Clean, Safe and Accessible Transport and Mobility";""
"101069614";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101069614";"HORIZON.2.5.8";"Smart Mobility";""
"101070568";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101070568";"HORIZON.2.4.5";"Artificial Intelligence and Robotics";""
"101061198";"HORIZON.2.2";"Culture, creativity and inclusive society";"true"
"101061198";"HORIZON.2.2.3";"Social and Economic Transformations";""
"101073271";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101066680";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101063107";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101072843";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101056730";"HORIZON.2.5.7";"Clean, Safe and Accessible Transport and Mobility";""
"101056730";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101056730";"HORIZON.2.5.6";"Industrial Competitiveness in Transport";""
"101075714";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101075714";"HORIZON.2.5.3";"Energy Systems and Grids";""
"101068900";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101069782";"HORIZON.2.5.7";"Clean, Safe and Accessible Transport and Mobility";""
"101069782";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101069782";"HORIZON.2.5.8";"Smart Mobility";""
"101079952";"HORIZON.2.2";"Culture, creativity and inclusive society";""
"101079952";"HORIZON.2.1";"Health";""
"101079952";"HORIZON.2.4";"Digital, Industry and Space";""
"101079952";"HORIZON.2.3";"Civil Security for Society";""
"101079952";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101079952";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";""
"101070940";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101079354";"HORIZON.4.1.2";"Twinning";""
"101079354";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101070627";"HORIZON.2.3.3";"Cybersecurity";""
"101070627";"HORIZON.2.3";"Civil Security for Society";"true"
"101079392";"HORIZON.4.1.2";"Twinning";""
"101079392";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101066486";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101056799";"HORIZON.2.5.7";"Clean, Safe and Accessible Transport and Mobility";""
"101056799";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101056799";"HORIZON.2.5.6";"Industrial Competitiveness in Transport";""
"101066739";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101056732";"HORIZON.2.5.7";"Clean, Safe and Accessible Transport and Mobility";""
"101056732";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101056732";"HORIZON.2.5.6";"Industrial Competitiveness in Transport";""
"101072585";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101046719";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101046719";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101079200";"HORIZON.4.1.2";"Twinning";""
"101079200";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101067047";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101066635";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101056898";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101056898";"HORIZON.2.5.1";"Climate Science and Solutions";""
"101079929";"HORIZON.2.2";"Culture, creativity and inclusive society";""
"101079929";"HORIZON.2.1";"Health";""
"101079929";"HORIZON.2.4";"Digital, Industry and Space";""
"101079929";"HORIZON.2.3";"Civil Security for Society";""
"101079929";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101079929";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";""
"101070931";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101072360";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101064993";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101059484";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101079091";"HORIZON.4.1.2";"Twinning";""
"101079091";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101062327";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101064986";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101069500";"HORIZON.2.5.7";"Clean, Safe and Accessible Transport and Mobility";""
"101069500";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101069500";"HORIZON.2.5.8";"Smart Mobility";""
"101083936";"HORIZON.2.5.2";"Energy Supply";""
"101083936";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101064881";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101060739";"HORIZON.2.6.5";"Food Systems";""
"101060739";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101075424";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101075424";"HORIZON.2.5.3";"Energy Systems and Grids";""
"101046630";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101046630";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101056773";"HORIZON.2.4.1";"Manufacturing Technologies";""
"101056773";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101056863";"HORIZON.2.5.7";"Clean, Safe and Accessible Transport and Mobility";""
"101056863";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101056863";"HORIZON.2.5.6";"Industrial Competitiveness in Transport";""
"101060184";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101060184";"HORIZON.2.6.7";"Circular Systems";""
"101058559";"HORIZON.2.4.1";"Manufacturing Technologies";""
"101058559";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101079250";"HORIZON.4.1.2";"Twinning";""
"101079250";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101067138";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101066062";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101057527";"HORIZON.2.1";"Health";"true"
"101057527";"HORIZON.2.1.2";"Environmental and Social Health Determinants";""
"101071159";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101058162";"HORIZON.2.4.1";"Manufacturing Technologies";""
"101058162";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101056886";"HORIZON.2.5.7";"Clean, Safe and Accessible Transport and Mobility";""
"101056886";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101056886";"HORIZON.2.5.6";"Industrial Competitiveness in Transport";""
"101069981";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101070918";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101072851";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101056818";"HORIZON.2.5.7";"Clean, Safe and Accessible Transport and Mobility";""
"101056818";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101056818";"HORIZON.2.5.6";"Industrial Competitiveness in Transport";""
"101056784";"HORIZON.2.5.7";"Clean, Safe and Accessible Transport and Mobility";""
"101056784";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101056784";"HORIZON.2.5.6";"Industrial Competitiveness in Transport";""
"101079696";"HORIZON.1.3";"Research infrastructures";"true"
"101079696";"HORIZON.1.3.1";"Consolidating and Developing the Landscape of European Research Infrastructures";""
"101079679";"HORIZON.1.3";"Research infrastructures";"true"
"101079679";"HORIZON.1.3.1";"Consolidating and Developing the Landscape of European Research Infrastructures";""
"101073238";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101070521";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101070521";"HORIZON.2.4.6";"Next Generation Internet";""
"101057438";"HORIZON.2.1";"Health";"true"
"101057438";"HORIZON.2.1.5";"Tools, Technologies and Digital Solutions for Health and Care, including personalised medicine";""
"101046297";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101046297";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101063870";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101072637";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101073040";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101072354";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101072363";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101072454";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101079147";"HORIZON.4.1.2";"Twinning";""
"101079147";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101069937";"HORIZON.2.5.7";"Clean, Safe and Accessible Transport and Mobility";""
"101069937";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101069937";"HORIZON.2.5.8";"Smart Mobility";""
"101073485";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101057385";"HORIZON.2.1";"Health";"true"
"101057385";"HORIZON.2.1.1";"Health throughout the Life Course";""
"101056810";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101056810";"HORIZON.2.5.1";"Climate Science and Solutions";""
"101070482";"HORIZON.2.4";"Digital, Industry and Space";"true"
